▶ running per-file parallel test suite via run_tests_parallel.py
  (TZ=UTC LANG=C.UTF-8 PYTHONHASHSEED=0; clean env)
Discovered 1976 test files (~37961 tests) under ['tests']; running with -j 28
[  0.0% |     5/~37961 | ✓5 | ✗0] ✓ tests/acp_adapter/test_detect_provider_entra.py (5✓, 7.9s)
[  8.2% |  3095/~37961 | ✓3319 | ✗   3] ✓ tests/agent/test_tool_call_arg_no_redaction.py (2✓, 5.1s)
[  8.4% |  3192/~37961 | ✓3416 | ✗   3] ✓ tests/agent/test_image_routing.py (97✓, 82.1s)
[  8.5% |  3216/~37961 | ✓3440 | ✗   3] ✓ tests/agent/test_skill_utils.py (24✓, 23.3s)
[  8.5% |  3222/~37961 | ✓3446 | ✗   3] ✓ tests/agent/test_thread_scoped_output.py (6✓, 8.8s)
[  8.5% |  3225/~37961 | ✓3449 | ✗   3] ✓ tests/agent/test_tool_result_classification.py (3✓, 5.8s)
[  8.6% |  3246/~37961 | ✓3470 | ✗   3] ✓ tests/agent/test_streaming_context_scrubber.py (21✓, 21.2s)
[  8.6% |  3267/~37961 | ✓3491 | ✗   3] ✓ tests/agent/test_subagent_progress.py (21✓, 21.7s)
[  8.8% |  3323/~37961 | ✓3547 | ✗   3] ✓ tests/agent/test_plugin_llm.py (56✓, 49.2s)
[  8.8% |  3324/~37961 | ✓3548 | ✗   3] ✓ tests/agent/test_turn_finalizer_final_response_persistence.py (1✓, 4.1s)
[  8.8% |  3330/~37961 | ✓3575 | ✗   3] ✓ tests/agent/test_stream_read_timeout_floor.py (27✓, 26.7s)
[  8.8% |  3334/~37961 | ✓3579 | ✗   3] ✓ tests/agent/test_turn_finalizer_interrupt_alternation.py (4✓, 6.3s)
[  8.8% |  3338/~37961 | ✓3583 | ✗   3] ✓ tests/agent/test_turn_retry_state.py (4✓, 6.5s)
[  8.8% |  3342/~37961 | ✓3589 | ✗   3] ✓ tests/agent/test_turn_finalizer_cleanup_guard.py (6✓, 8.0s)
[  8.9% |  3377/~37961 | ✓3624 | ✗   3] ✓ tests/agent/test_skill_bundles.py (35✓, 32.4s)
[  9.0% |  3402/~37961 | ✓3649 | ✗   3] ✓ tests/agent/test_subdirectory_hints.py (25✓, 24.8s)
[  9.0% |  3415/~37961 | ✓3662 | ✗   3] ✓ tests/agent/test_tool_guardrails.py (13✓, 14.8s)
[  9.0% |  3426/~37961 | ✓3713 | ✗   3] ✓ tests/agent/test_reasoning_stale_timeout_floor.py (51✓, 46.6s)
[  9.4% |  3573/~37961 | ✓3864 | ✗   3] ✓ tests/agent/test_context_compressor.py (151✓, 130.6s)
[  9.7% |  3673/~37961 | ✓3964 | ✗   3] ✓ tests/agent/test_memory_provider.py (100✓, 86.6s)
[  9.7% |  3675/~37961 | ✓3966 | ✗   3] ✓ tests/agent/test_vision_resolved_args.py (2✓, 5.3s)
[  9.7% |  3678/~37961 | ✓3969 | ✗   3] ✓ tests/agent/test_verification_stop_caching.py (3✓, 7.4s)
[  9.8% |  3705/~37961 | ✓4000 | ✗   3] ✓ tests/agent/test_think_scrubber.py (31✓, 29.4s)
[  9.8% |  3719/~37961 | ✓4014 | ✗   3] ✓ tests/agent/test_turn_context.py (14✓, 16.4s)
[  9.8% |  3725/~37961 | ✓4020 | ✗   3] ✓ tests/agent/test_verify_hooks.py (6✓, 8.4s)
[  9.9% |  3745/~37961 | ✓4037 | ✗   3] ✓ tests/agent/test_trace_upload.py (17✓ 3s, 19.4s)
[  9.9% |  3772/~37961 | ✓4064 | ✗   3] ✓ tests/agent/test_title_generator.py (27✓, 26.2s)
[ 10.0% |  3787/~37961 | ✓4079 | ✗   3] ✓ tests/agent/test_usage_pricing.py (15✓, 16.7s)
[ 10.0% |  3793/~37961 | ✓4095 | ✗   3] ✓ tests/agent/test_unsupported_parameter_retry.py (16✓, 17.3s)
[ 10.0% |  3803/~37961 | ✓4105 | ✗   3] ✓ tests/agent/test_video_gen_registry.py (10✓, 12.2s)
[ 10.0% |  3810/~37961 | ✓4124 | ✗   3] ✓ tests/agent/test_unsupported_temperature_retry.py (19✓, 18.3s)
[ 10.1% |  3823/~37961 | ✓4137 | ✗   3] ✓ tests/agent/test_vertex_adapter.py (13✓, 14.3s)
[ 10.1% |  3845/~37961 | ✓4164 | ✗   3] ✓ tests/agent/test_transcription_registry.py (27✓, 25.2s)
[ 10.2% |  3867/~37961 | ✓4197 | ✗   3] ✓ tests/agent/test_tool_dispatch_helpers.py (33✓, 30.4s)
[ 10.3% |  3921/~37961 | ✓4251 | ✗   3] ✓ tests/agent/test_skill_commands.py (54✓, 48.9s)
[ 10.4% |  3938/~37961 | ✓4268 | ✗   3] ✓ tests/agent/test_verification_evidence.py (17✓, 21.0s)
[ 10.4% |  3950/~37961 | ✓4280 | ✗   3] ✓ tests/agent/test_vision_routing_31179.py (12✓, 15.4s)
[ 10.4% |  3959/~37961 | ✓4289 | ✗   3] ✓ tests/agent/transports/test_hermes_tools_mcp_server.py (9✓, 11.0s)
[ 10.4% |  3961/~37961 | ✓4291 | ✗   3] ✓ tests/cli/test_cli_active_agent_ref_wiring.py (2✓, 5.1s)
[ 10.6% |  4017/~37961 | ✓4347 | ✗   3] ✓ tests/agent/test_shell_hooks.py (56✓, 53.2s)
[ 10.6% |  4021/~37961 | ✓4351 | ✗   3] ✓ tests/cli/test_chat_q_exit_clear.py (4✓, 7.0s)
[ 10.6% |  4040/~37961 | ✓4370 | ✗   3] ✓ tests/agent/transports/test_bedrock_transport.py (19✓, 19.5s)
[ 10.7% |  4048/~37961 | ✓4378 | ✗   3] ✓ tests/cli/test_bracketed_paste_timeout.py (8✓, 10.5s)
[ 10.7% |  4056/~37961 | ✓4386 | ✗   3] ✓ tests/cli/test_busy_input_mode_command.py (8✓, 10.2s)
[ 10.7% |  4060/~37961 | ✓4390 | ✗   3] ✓ tests/cli/test_cli_background_tui_refresh.py (4✓, 6.7s)
[ 10.7% |  4080/~37961 | ✓4439 | ✗   3] ✓ tests/agent/test_thinking_timeout_guidance.py (49✓, 44.7s)
[ 10.8% |  4084/~37961 | ✓4443 | ✗   3] ✓ tests/cli/test_cli_copy_command.py (4✓, 6.6s)
[ 10.8% |  4088/~37961 | ✓4447 | ✗   3] ✓ tests/cli/test_cli_delegate_background_notice.py (4✓, 6.7s)
[ 10.8% |  4108/~37961 | ✓4470 | ✗   3] ✓ tests/agent/transports/test_codex_event_projector.py (23✓, 21.8s)
[ 10.9% |  4119/~37961 | ✓4481 | ✗   3] ✓ tests/cli/test_cli_bracketed_paste_sanitizer.py (11✓, 12.3s)
[ 10.9% |  4124/~37961 | ✓4486 | ✗   3] ✓ tests/cli/test_cli_extension_hooks.py (5✓, 7.8s)
[ 10.9% |  4141/~37961 | ✓4503 | ✗   3] ✓ tests/cli/test_branch_command.py (17✓, 17.7s)
[ 11.0% |  4175/~37961 | ✓4550 | ✗   3] ✓ tests/agent/test_tts_registry.py (47✓, 41.7s)
[ 11.1% |  4199/~37961 | ✓4574 | ✗   3] ✓ tests/agent/transports/test_transport.py (24✓, 23.1s)
[ 11.1% |  4206/~37961 | ✓4581 | ✗   3] ✓ tests/cli/test_cli_external_editor.py (7✓, 8.9s)
[ 11.1% |  4216/~37961 | ✓4591 | ✗   3] ✓ tests/cli/test_cli_context_warning.py (10✓, 12.5s)
[ 11.1% |  4217/~37961 | ✓4612 | ✗   3] ✓ tests/ci/test_classify_changes.py (21✓, 20.7s)
[ 11.1% |  4219/~37961 | ✓4614 | ✗   3] ✓ tests/cli/test_cli_insights_command.py (2✓, 4.8s)
[ 11.2% |  4237/~37961 | ✓4643 | ✗   3] ✓ tests/agent/transports/test_codex_app_server_runtime.py (29✓, 27.6s)
[ 11.2% |  4247/~37961 | ✓4653 | ✗   3] ✓ tests/cli/test_cli_force_redraw.py (10✓, 11.0s)
[ 11.2% |  4248/~37961 | ✓4654 | ✗   3] ✓ tests/cli/test_cli_interrupt_subagent.py (1✓, 4.8s)
[ 11.2% |  4255/~37961 | ✓4661 | ✗   3] ✓ tests/cli/test_cli_goal_interrupt.py (7✓, 9.1s)
[ 11.5% |  4366/~37961 | ✓4779 | ✗   3] ✓ tests/agent/test_model_metadata.py (118✓, 103.5s)
[ 11.5% |  4368/~37961 | ✓4781 | ✗   3] ✓ tests/cli/test_cli_loading_indicator.py (2✓, 5.0s)
[ 11.5% |  4370/~37961 | ✓4783 | ✗   3] ✓ tests/cli/test_cli_interrupt_ack_race.py (2✓, 7.3s)
[ 11.5% |  4379/~37961 | ✓4792 | ✗   3] ✓ tests/cli/test_cli_image_command.py (9✓, 10.2s)
[ 11.5% |  4384/~37961 | ✓4797 | ✗   3] ✓ tests/cli/test_cli_interrupt_drain_regression.py (5✓, 7.8s)
[ 11.6% |  4407/~37961 | ✓4820 | ✗   3] ✓ tests/cli/test_cli_background_status_indicator.py (23✓, 21.7s)
[ 11.7% |  4428/~37961 | ✓4841 | ✗   3] ✓ tests/cli/test_cli_browser_connect.py (21✓, 19.4s)
[ 11.7% |  4434/~37961 | ✓4847 | ✗   3] ✓ tests/cli/test_cli_mcp_config_watch.py (6✓, 6.5s)
[ 11.7% |  4460/~37961 | ✓4873 | ✗   3] ✓ tests/cli/test_cli_approval_ui.py (26✓, 23.4s)
[ 11.8% |  4465/~37961 | ✓4878 | ✗   3] ✓ tests/cli/test_cli_pet_pane.py (5✓, 5.8s)
[ 11.8% |  4468/~37961 | ✓4881 | ✗   3] ✓ tests/cli/test_cli_reload_skills.py (3✓, 3.9s)
[ 11.8% |  4470/~37961 | ✓4883 | ✗   3] ✓ tests/cli/test_cli_retry.py (2✓, 2.9s)
[ 11.8% |  4473/~37961 | ✓4886 | ✗   3] ✓ tests/cli/test_cli_preloaded_skills.py (3✓, 4.8s)
[ 11.9% |  4502/~37961 | ✓4935 | ✗   3] ✓ tests/agent/test_verification_stop.py (49✓, 41.1s)
[ 12.0% |  4539/~37961 | ✓4972 | ✗   3] ✓ tests/agent/transports/test_types.py (37✓, 30.7s)
[ 12.0% |  4544/~37961 | ✓4977 | ✗   3] ✓ tests/cli/test_cli_secret_capture.py (5✓, 3.8s)
[ 12.0% |  4552/~37961 | ✓4985 | ✗   3] ✓ tests/cli/test_cli_save_config_value.py (8✓, 4.9s)
[ 12.0% |  4566/~37961 | ✓4999 | ✗   3] ✓ tests/cli/test_cli_markdown_rendering.py (14✓, 9.7s)
[ 12.0% |  4572/~37961 | ✓5005 | ✗   3] ✓ tests/cli/test_cli_shift_enter_newline.py (6✓, 3.8s)
[ 12.1% |  4583/~37961 | ✓5016 | ✗   3] ✓ tests/cli/test_cli_new_session.py (11✓, 9.0s)
[ 12.1% |  4594/~37961 | ✓5027 | ✗   3] ✓ tests/cli/test_cli_prefix_matching.py (11✓, 8.0s)
[ 12.1% |  4597/~37961 | ✓5030 | ✗   3] ✓ tests/cli/test_cli_terminal_shortcuts.py (3✓, 2.8s)
[ 12.1% |  4600/~37961 | ✓5033 | ✗   3] ✓ tests/cli/test_cli_user_message_preview.py (3✓, 2.8s)
[ 12.1% |  4607/~37961 | ✓5040 | ✗   3] ✓ tests/cli/test_cli_shutdown_memory_messages.py (7✓, 4.7s)
[ 12.2% |  4613/~37961 | ✓5046 | ✗   3] ✓ tests/cli/test_cli_status_command.py (6✓, 4.0s)
[ 12.2% |  4631/~37961 | ✓5066 | ✗   3] ✓ tests/cli/test_cli_light_mode.py (20✓, 12.0s)
[ 12.2% |  4642/~37961 | ✓5077 | ✗   3] ✓ tests/cli/test_cli_skin_integration.py (11✓, 5.6s)
[ 12.2% |  4649/~37961 | ✓5084 | ✗   3] ✓ tests/cli/test_cli_steer_busy_path.py (7✓, 4.9s)
[ 12.3% |  4667/~37961 | ✓5102 | ✗   3] ✓ tests/cli/test_cli_resume_command.py (18✓, 9.1s)
[ 12.3% |  4670/~37961 | ✓5105 | ✗   3] ✓ tests/cli/test_destructive_slash_inline_skip_e2e.py (3✓, 2.7s)
[ 12.3% |  4675/~37961 | ✓5110 | ✗   3] ✓ tests/cli/test_compress_focus.py (5✓, 3.8s)
[ 12.3% |  4685/~37961 | ✓5120 | ✗   3] ✓ tests/cli/test_cli_tools_command.py (10✓, 5.6s)
[ 12.4% |  4711/~37961 | ✓5155 | ✗   3] ✓ tests/cli/test_cli_file_drop.py (35✓, 21.7s)
[ 12.4% |  4716/~37961 | ✓5160 | ✗   3] ✓ tests/cli/test_compress_here.py (5✓, 3.8s)
[ 12.9% |  4904/~37961 | ✓5352 | ✗   3] ✓ tests/agent/test_error_classifier.py (192✓, 150.6s)
[ 12.9% |  4909/~37961 | ✓5357 | ✗   3] ✓ tests/cli/test_exit_summary_resume_hint.py (5✓, 3.4s)
[ 13.0% |  4922/~37961 | ✓5370 | ✗   3] ✓ tests/cli/test_cli_yolo_toggle.py (13✓, 6.4s)
[ 13.0% |  4931/~37961 | ✓5379 | ✗   3] ✓ tests/cli/test_cwd_env_respect.py (9✓, 4.7s)
[ 13.0% |  4947/~37961 | ✓5395 | ✗   3] ✓ tests/cli/test_cli_terminal_response_sanitizer.py (16✓, 7.3s)
[ 13.0% |  4951/~37961 | ✓5399 | ✗   3] ✓ tests/cli/test_moa_command.py (4✓, 3.0s)
[ 13.1% |  4974/~37961 | ✓5422 | ✗   3] ✓ tests/cli/test_cli_provider_resolution.py (23✓, 11.7s)
[ 13.1% |  4984/~37961 | ✓5432 | ✗   3] ✓ tests/cli/test_ctrl_enter_newline.py (10✓, 5.2s)
[ 13.3% |  5044/~37961 | ✓5492 | ✗   3] ✓ tests/agent/transports/test_codex_transport.py (60✓, 40.4s)
[ 13.3% |  5047/~37961 | ✓5495 | ✗   3] ✓ tests/cli/test_prefill_config.py (3✓, 2.8s)
[ 13.3% |  5053/~37961 | ✓5501 | ✗   3] ✓ tests/cli/test_manual_compress.py (6✓, 4.5s)
[ 13.3% |  5066/~37961 | ✓5514 | ✗   3] ✓ tests/cli/test_cprint_bg_thread.py (13✓, 6.5s)
[ 13.4% |  5083/~37961 | ✓5531 | ✗   3] ✓ tests/cli/test_compress_flags.py (17✓, 7.7s)
[ 13.4% |  5095/~37961 | ✓5543 | ✗   3] ✓ tests/cli/test_exit_delete_session.py (12✓, 6.0s)
[ 13.4% |  5100/~37961 | ✓5548 | ✗   3] ✓ tests/cli/test_prompt_text_input_thread_safety.py (5✓, 3.5s)
[ 13.4% |  5102/~37961 | ✓5550 | ✗   3] ✓ tests/cli/test_save_conversation_location.py (2✓, 2.6s)
[ 13.5% |  5106/~37961 | ✓5554 | ✗   3] ✓ tests/cli/test_resume_quiet_stderr.py (4✓, 3.4s)
[ 13.5% |  5122/~37961 | ✓5570 | ✗   3] ✓ tests/cli/test_destructive_slash_confirm.py (16✓, 7.5s)
[ 13.5% |  5123/~37961 | ✓5571 | ✗   3] ✓ tests/cli/test_steer_inline_repaint_34569.py (1✓, 2.2s)
[ 13.5% |  5127/~37961 | ✓5575 | ✗   3] ✓ tests/cli/test_slash_command_interrupt.py (4✓, 3.3s)
[ 13.5% |  5136/~37961 | ✓5584 | ✗   3] ✓ tests/cli/test_prepend_note_to_message.py (9✓, 5.1s)
[ 13.5% |  5141/~37961 | ✓5589 | ✗   3] ✓ tests/cli/test_session_boundary_hooks.py (5✓, 4.0s)
[ 13.6% |  5148/~37961 | ✓5596 | ✗   3] ✓ tests/cli/test_single_query_session_finalize.py (7✓, 4.7s)
[ 13.6% |  5154/~37961 | ✓5602 | ✗   3] ✓ tests/cli/test_stream_partial_line_flush.py (6✓, 3.9s)
[ 13.6% |  5160/~37961 | ✓5608 | ✗   3] ✓ tests/cli/test_terminal_interrupt_recovery.py (6✓, 3.9s)
[ 13.6% |  5163/~37961 | ✓5611 | ✗   3] ✓ tests/cli/test_version_command.py (3✓, 2.7s)
[ 13.6% |  5165/~37961 | ✓5613 | ✗   3] ✓ tests/computer_use/test_cua_cli_fallback_env.py (2✓, 2.4s)
[ 13.7% |  5184/~37961 | ✓5632 | ✗   3] ✓ tests/cli/test_partial_compress.py (19✓, 8.9s)
[ 13.7% |  5188/~37961 | ✓5636 | ✗   3] ✓ tests/computer_use/test_cua_spawn_env_sanitization.py (4✓, 3.2s)
[ 13.7% |  5207/~37961 | ✓5655 | ✗   3] ✓ tests/cli/test_personality_none.py (19✓, 8.9s)
[ 13.7% |  5216/~37961 | ✓5664 | ✗   3] ✓ tests/cli/test_tui_terminal_reset_on_exit.py (9✓, 5.3s)
[ 13.8% |  5226/~37961 | ✓5677 | ✗   3] ✓ tests/cli/test_slash_confirm_windows.py (13✓, 7.4s)
[ 13.8% |  5244/~37961 | ✓5695 | ✗   3] ✓ tests/cli/test_quick_commands.py (18✓, 9.3s)
[ 13.8% |  5253/~37961 | ✓5709 | ✗   3] ✓ tests/cli/test_stream_delta_think_tag.py (14✓, 7.0s)
[ 14.1% |  5335/~37961 | ✓5791 | ✗   3] ✓ tests/agent/transports/test_chat_completions.py (82✓, 50.0s)
[ 14.1% |  5340/~37961 | ✓5796 | ✗   3] ✓ tests/cli/test_worktree_security.py (5✓, 5.9s)
[ 14.5% |  5489/~37961 | ✓5945 | ✗   3] ✓ tests/agent/test_redact.py (149✓, 101.1s)
[ 14.6% |  5542/~37961 | ✓5998 | ✗   3] ✓ tests/cli/test_cli_init.py (53✓, 28.8s)
[ 14.6% |  5545/~37961 | ✓6001 | ✗   3] ✓ tests/cron/test_compute_next_run_last_run_at.py (3✓, 3.0s)
[ 14.6% |  5551/~37961 | ✓6007 | ✗   3] ✓ tests/cron/test_claim_job_for_fire.py (6✓, 4.4s)
[ 14.6% |  5553/~37961 | ✓6009 | ✗   3] ✓ tests/cron/test_codex_execution_paths.py (2✓, 4.1s)
[ 14.7% |  5563/~37961 | ✓6019 | ✗   3] ✓ tests/computer_use/test_cua_telemetry.py (10✓, 5.5s)
[ 14.8% |  5608/~37961 | ✓6064 | ✗   3] ✓ tests/cli/test_cli_status_bar.py (45✓, 18.8s)
[ 14.8% |  5612/~37961 | ✓6068 | ✗   3] ✓ tests/cron/test_cron_profile_isolation.py (4✓, 3.2s)
[ 14.9% |  5671/~37961 | ✓6131 | ✗   3] ✓ tests/agent/transports/test_codex_app_server_session.py (63✓, 51.6s)
[ 15.0% |  5706/~37961 | ✓6166 | ✗   3] ✓ tests/cli/test_fast_command.py (35✓, 14.9s)
[ 15.0% |  5711/~37961 | ✓6186 | ✗   3] ✓ tests/cli/test_update_command.py (20✓, 9.1s)
[ 15.5% |  5872/~37961 | ✓6346 | ✗   3] ✓ tests/agent/test_prompt_builder.py (160✓ 1s, 109.7s)
[ 15.5% |  5877/~37961 | ✓6351 | ✗   3] ✓ tests/cli/test_worktree_sync_base.py (5✓, 8.2s)
[ 15.5% |  5891/~37961 | ✓6365 | ✗   3] ✓ tests/computer_use/test_doctor.py (14✓, 7.1s)
[ 15.5% |  5894/~37961 | ✓6368 | ✗   3] ✓ tests/cron/test_cronjob_schema.py (3✓, 2.9s)
[ 15.6% |  5913/~37961 | ✓6387 | ✗   3] ✓ tests/cli/test_tool_progress_scrollback.py (19✓, 10.7s)
[ 15.6% |  5914/~37961 | ✓6388 | ✗   3] ✓ tests/cron/test_jobs_crossprocess_lock.py (1✓, 2.6s)
[ 15.6% |  5915/~37961 | ✓6389 | ✗   3] ✓ tests/cron/test_scheduler_mcp_init.py (1✓, 2.2s)
[ 15.6% |  5920/~37961 | ✓6394 | ✗   3] ✓ tests/cron/test_jobs_changed_notify.py (5✓, 3.8s)
[ 15.6% |  5928/~37961 | ✓6402 | ✗   3] ✓ tests/cron/test_file_permissions.py (8✓, 4.4s)
[ 15.7% |  5956/~37961 | ✓6430 | ✗   3] ✓ tests/cli/test_surrogate_sanitization.py (28✓, 13.8s)
[ 15.7% |  5960/~37961 | ✓6434 | ✗   3] ✓ tests/cron/test_terminal_cwd_lock.py (4✓, 3.3s)
[ 15.7% |  5974/~37961 | ✓6448 | ✗   3] ✓ tests/cron/test_cron_provider_pin.py (14✓, 7.5s)
[ 15.7% |  5976/~37961 | ✓6450 | ✗   3] ✓ tests/gateway/platforms/test_yuanbao_recall_db_only.py (2✓, 2.4s)
[ 15.8% |  5985/~37961 | ✓6459 | ✗   3] ✓ tests/cron/test_parallel_pool.py (9✓, 5.6s)
[ 15.9% |  6025/~37961 | ✓6499 | ✗   3] ✓ tests/cli/test_resume_display.py (40✓, 16.8s)
[ 15.9% |  6035/~37961 | ✓6509 | ✗   3] ✓ tests/cron/test_run_one_job.py (10✓, 5.5s)
[ 15.9% |  6053/~37961 | ✓6527 | ✗   3] ✓ tests/cron/test_cron_no_agent.py (18✓, 9.0s)
[ 16.0% |  6062/~37961 | ✓6536 | ✗   3] ✓ tests/cron/test_scheduler_shutdown_guard.py (9✓, 4.9s)
[ 16.0% |  6082/~37961 | ✓6556 | ✗   3] ✓ tests/cron/test_cron_prompt_injection_skill.py (20✓, 8.9s)
[ 16.1% |  6093/~37961 | ✓6567 | ✗   3] ✓ tests/cron/test_cron_inactivity_timeout.py (11✓, 9.6s)
[ 16.1% |  6120/~37961 | ✓6594 | ✗   3] ✓ tests/cron/test_blueprint_catalog.py (27✓, 11.9s)
[ 16.2% |  6141/~37961 | ✓6615 | ✗   3] ✓ tests/cron/test_cron_context_from.py (21✓, 10.7s)
[ 16.2% |  6142/~37961 | ✓6616 | ✗   3] ✓ tests/gateway/relay/test_no_stub_leak.py (1✓, 2.3s)
[ 16.2% |  6146/~37961 | ✓6624 | ✗   3] ✓ tests/gateway/relay/test_contract_doc_conformance.py (8✓, 4.7s)
[ 16.2% |  6151/~37961 | ✓6629 | ✗   3] ✓ tests/gateway/relay/test_descriptor.py (5✓, 3.7s)
[ 16.2% |  6160/~37961 | ✓6638 | ✗   3] ✓ tests/cron/test_ticker_stall_60703.py (9✓, 6.5s)
[ 16.3% |  6176/~37961 | ✓6654 | ✗   3] ✓ tests/cron/test_rewrite_skill_refs.py (16✓, 8.5s)
[ 16.3% |  6180/~37961 | ✓6658 | ✗   3] ✓ tests/gateway/relay/test_descriptor_from_entry.py (4✓, 3.5s)
[ 16.3% |  6201/~37961 | ✓6679 | ✗   3] ✓ tests/cron/test_cron_workdir.py (21✓, 10.2s)
[ 16.4% |  6217/~37961 | ✓6695 | ✗   3] ✓ tests/cron/test_shutdown_interrupt.py (16✓, 7.9s)
[ 16.4% |  6221/~37961 | ✓6699 | ✗   3] ✓ tests/gateway/relay/test_relay_follow_up.py (4✓, 3.4s)
[ 16.4% |  6225/~37961 | ✓6703 | ✗   3] ✓ tests/gateway/relay/test_relay_interrupt.py (4✓, 3.4s)
[ 16.4% |  6231/~37961 | ✓6709 | ✗   3] ✓ tests/gateway/relay/test_identity_token_resolver.py (6✓, 4.3s)
[ 16.5% |  6250/~37961 | ✓6728 | ✗   3] ✓ tests/cron/test_suggestions.py (19✓, 8.8s)
[ 16.5% |  6257/~37961 | ✓6735 | ✗   3] ✓ tests/gateway/relay/test_relay_passthrough.py (7✓, 4.3s)
[ 16.5% |  6262/~37961 | ✓6740 | ✗   3] ✓ tests/gateway/relay/test_relay_roundtrip.py (5✓, 3.4s)
[ 16.5% |  6268/~37961 | ✓6746 | ✗   3] ✓ tests/gateway/relay/test_relay_registration.py (6✓, 4.0s)
[ 16.5% |  6271/~37961 | ✓6749 | ✗   3] ✓ tests/gateway/relay/test_relay_sheds_crypto.py (3✓, 2.7s)
[ 16.6% |  6288/~37961 | ✓6766 | ✗   3] ✓ tests/gateway/relay/test_auth.py (17✓, 7.9s)
[ 16.6% |  6294/~37961 | ✓6772 | ✗   3] ✓ tests/gateway/relay/test_relay_roundtrip_telegram.py (6✓, 3.8s)
[ 16.6% |  6304/~37961 | ✓6782 | ✗   3] ✓ tests/gateway/relay/test_relay_multiplatform.py (10✓, 5.6s)
[ 16.6% |  6307/~37961 | ✓6785 | ✗   3] ✓ tests/gateway/test_10710_auto_reset_evicts_cached_agent.py (3✓, 3.1s)
[ 16.8% |  6362/~37961 | ✓6840 | ✗   3] ✓ tests/cli/test_reasoning_command.py (55✓, 23.2s)
[ 16.8% |  6364/~37961 | ✓6842 | ✗   3] ✓ tests/gateway/test_48031_model_switch_after_auto_reset.py (2✓, 2.7s)
[ 16.8% |  6367/~37961 | ✓6845 | ✗   3] ✓ tests/gateway/test_35994_reset_button_deadlock.py (3✓, 3.0s)
[ 16.8% |  6371/~37961 | ✓6849 | ✗   3] ✓ tests/gateway/test_35809_auto_reset_clean_context.py (4✓, 3.6s)
[ 16.8% |  6375/~37961 | ✓6853 | ✗   3] ✓ tests/gateway/test_42039_duplicate_user_message.py (4✓, 3.2s)
[ 16.8% |  6387/~37961 | ✓6865 | ✗   3] ✓ tests/gateway/relay/test_relay_policy_send.py (12✓, 6.3s)
[ 16.8% |  6391/~37961 | ✓6869 | ✗   3] ✓ tests/gateway/test_53175_cleanup_off_loop.py (4✓, 3.3s)
[ 16.9% |  6397/~37961 | ✓6875 | ✗   3] ✓ tests/gateway/test_13121_shutdown_inflight_transcript_flush.py (6✓, 4.5s)
[ 16.9% |  6400/~37961 | ✓6878 | ✗   3] ✓ tests/gateway/test_aiohttp_body_caps.py (3✓, 2.8s)
[ 16.9% |  6409/~37961 | ✓6887 | ✗   3] ✓ tests/gateway/relay/test_ws_transport.py (9✓, 5.2s)
[ 16.9% |  6421/~37961 | ✓6899 | ✗   3] ✓ tests/gateway/relay/test_relay_going_idle.py (12✓, 7.9s)
[ 17.0% |  6448/~37961 | ✓6926 | ✗   3] ✓ tests/dashboard/test_ws_client_host.py (27✓, 11.5s)
[ 17.7% |  6717/~37961 | ✓7224 | ✗   3] ✓ tests/agent/test_auxiliary_client.py (298✓, 226.4s)
[ 17.7% |  6736/~37961 | ✓7243 | ✗   3] ✓ tests/gateway/relay/test_relay_adapter.py (19✓, 9.0s)
[ 17.8% |  6740/~37961 | ✓7247 | ✗   3] ✓ tests/gateway/test_allowlist_startup_check.py (4✓, 3.4s)
[ 17.8% |  6749/~37961 | ✓7256 | ✗   3] ✓ tests/gateway/test_7100_transient_failure_transcript.py (9✓, 4.8s)
[ 17.8% |  6751/~37961 | ✓7258 | ✗   3] ✓ tests/gateway/test_auto_voice_reply_format.py (2✓, 2.5s)
[ 17.8% |  6754/~37961 | ✓7261 | ✗   3] ✓ tests/gateway/test_auth_fallback.py (3✓, 2.9s)
[ 17.9% |  6792/~37961 | ✓7299 | ✗   3] ✓ tests/cron/test_cron_script.py (38✓, 18.3s)
[ 17.9% |  6798/~37961 | ✓7305 | ✗   3] ✓ tests/gateway/test_async_delegation_session_binding.py (6✓, 3.9s)
[ 18.0% |  6835/~37961 | ✓7342 | ✗   3] ✓ tests/cron/test_scheduler_provider.py (37✓, 16.1s)
[ 18.0% |  6845/~37961 | ✓7352 | ✗   3] ✓ tests/gateway/test_api_server_media_data_urls.py (10✓, 5.4s)
[ 18.1% |  6853/~37961 | ✓7360 | ✗   3] ✓ tests/gateway/test_approval_prompt_redaction.py (8✓, 5.4s)
[ 18.1% |  6877/~37961 | ✓7384 | ✗   3] ✓ tests/gateway/relay/test_self_provision.py (24✓, 10.4s)
[ 18.2% |  6892/~37961 | ✓7399 | ✗   3] ✓ tests/gateway/test_active_session_text_merge.py (15✓, 8.2s)
[ 18.2% |  6904/~37961 | ✓7411 | ✗   3] ✓ tests/gateway/test_auto_continue.py (12✓, 6.0s)
[ 18.2% |  6922/~37961 | ✓7429 | ✗   3] ✓ tests/gateway/test_api_server_bind_guard.py (18✓, 8.3s)
[ 18.2% |  6925/~37961 | ✓7432 | ✗   3] ✓ tests/gateway/test_cached_agent_max_iterations.py (3✓, 2.7s)
[ 18.3% |  6929/~37961 | ✓7436 | ✗   3] ✓ tests/gateway/test_bundles_command.py (4✓, 3.3s)
